# PBI辐射计算结果 - CLI版本
# 生成时间: 2025-06-19 21:29:34.393265

# 输入参数:
# initial_energy: 3.0
# thickness: 0.0
# density: 1.947
# ionization_energy: 12.0
# g_factor: 0.17
# max_radius: 100.0
# save: True

# SRIM能量损失分析:
# 初始能量: 3.0
# 最终能量: 3.0
# 能量损失: 0.0
# 损失百分比: 0.0
# 密度修正因子: 1.298
# 修正后阻止本领: 6704.17

# 分析结果:
# PBI分子数密度: 3.806764e+00 分子/nm³
# 径迹中心温度: 3,350 K
# 总沉积能量: 1.671808e+00 keV

径向距离_nm	原始剂量_keV_nm3	归一化剂量_keV_nm3	温度_K	单原子能量_eV
1.000000e+00	5.802175e-02	3.955473e-02	3.349539e+03	4.233820e-01
1.003077e+00	5.766955e-02	3.931462e-02	3.329207e+03	4.208120e-01
1.006163e+00	5.731948e-02	3.907597e-02	3.308997e+03	4.182575e-01
1.009259e+00	5.697152e-02	3.883876e-02	3.288910e+03	4.157184e-01
1.012364e+00	5.662566e-02	3.860298e-02	3.268944e+03	4.131947e-01
1.015479e+00	5.628189e-02	3.836862e-02	3.249098e+03	4.106863e-01
1.018604e+00	5.594020e-02	3.813568e-02	3.229373e+03	4.081930e-01
1.021738e+00	5.560057e-02	3.790415e-02	3.209767e+03	4.057147e-01
1.024882e+00	5.526300e-02	3.767402e-02	3.190279e+03	4.032515e-01
1.028035e+00	5.492746e-02	3.744528e-02	3.170909e+03	4.008031e-01
1.031198e+00	5.459395e-02	3.721792e-02	3.151656e+03	3.983695e-01
1.034371e+00	5.426246e-02	3.699193e-02	3.132519e+03	3.959506e-01
1.037554e+00	5.393297e-02	3.676731e-02	3.113498e+03	3.935463e-01
1.040746e+00	5.360547e-02	3.654405e-02	3.094592e+03	3.911566e-01
1.043949e+00	5.327995e-02	3.632214e-02	3.075800e+03	3.887813e-01
1.047161e+00	5.295640e-02	3.610156e-02	3.057121e+03	3.864203e-01
1.050383e+00	5.263481e-02	3.588232e-02	3.038556e+03	3.840737e-01
1.053615e+00	5.231515e-02	3.566441e-02	3.020103e+03	3.817412e-01
1.056856e+00	5.199743e-02	3.544781e-02	3.001761e+03	3.794228e-01
1.060108e+00	5.168163e-02	3.523253e-02	2.983530e+03	3.771184e-01
1.063370e+00	5.136774e-02	3.501854e-02	2.965410e+03	3.748280e-01
1.066642e+00	5.105575e-02	3.480585e-02	2.947398e+03	3.725514e-01
1.069924e+00	5.074564e-02	3.459444e-02	2.929496e+03	3.702885e-01
1.073216e+00	5.043741e-02	3.438431e-02	2.911702e+03	3.680394e-01
1.076518e+00	5.013104e-02	3.417545e-02	2.894016e+03	3.658038e-01
1.079830e+00	4.982653e-02	3.396786e-02	2.876437e+03	3.635818e-01
1.083153e+00	4.952385e-02	3.376152e-02	2.858963e+03	3.613732e-01
1.086486e+00	4.922301e-02	3.355642e-02	2.841596e+03	3.591779e-01
1.089829e+00	4.892398e-02	3.335257e-02	2.824334e+03	3.569960e-01
1.093182e+00	4.862676e-02	3.314995e-02	2.807175e+03	3.548272e-01
1.096546e+00	4.833134e-02	3.294856e-02	2.790121e+03	3.526715e-01
1.099920e+00	4.803771e-02	3.274838e-02	2.773170e+03	3.505289e-01
1.103304e+00	4.774585e-02	3.254941e-02	2.756321e+03	3.483992e-01
1.106699e+00	4.745576e-02	3.235165e-02	2.739575e+03	3.462824e-01
1.110104e+00	4.716742e-02	3.215509e-02	2.722929e+03	3.441784e-01
1.113519e+00	4.688083e-02	3.195971e-02	2.706384e+03	3.420872e-01
1.116946e+00	4.659597e-02	3.176551e-02	2.689940e+03	3.400086e-01
1.120382e+00	4.631283e-02	3.157249e-02	2.673594e+03	3.379425e-01
1.123830e+00	4.603141e-02	3.138064e-02	2.657348e+03	3.358890e-01
1.127287e+00	4.575169e-02	3.118995e-02	2.641200e+03	3.338479e-01
1.130756e+00	4.547366e-02	3.100041e-02	2.625150e+03	3.318191e-01
1.134235e+00	4.519731e-02	3.081202e-02	2.609196e+03	3.298026e-01
1.137725e+00	4.492263e-02	3.062476e-02	2.593340e+03	3.277983e-01
1.141226e+00	4.464962e-02	3.043864e-02	2.577579e+03	3.258061e-01
1.144737e+00	4.437826e-02	3.025365e-02	2.561913e+03	3.238260e-01
1.148259e+00	4.410854e-02	3.006978e-02	2.546343e+03	3.218579e-01
1.151793e+00	4.384045e-02	2.988702e-02	2.530866e+03	3.199017e-01
1.155336e+00	4.357399e-02	2.970536e-02	2.515484e+03	3.179573e-01
1.158891e+00	4.330913e-02	2.952481e-02	2.500194e+03	3.160247e-01
1.162457e+00	4.304588e-02	2.934534e-02	2.484997e+03	3.141038e-01
1.166034e+00	4.278423e-02	2.916697e-02	2.469892e+03	3.121945e-01
1.169622e+00	4.252416e-02	2.898967e-02	2.454878e+03	3.102967e-01
1.173220e+00	4.226566e-02	2.881344e-02	2.439955e+03	3.084105e-01
1.176830e+00	4.200872e-02	2.863829e-02	2.425123e+03	3.065357e-01
1.180451e+00	4.175335e-02	2.846419e-02	2.410380e+03	3.046722e-01
1.184083e+00	4.149951e-02	2.829115e-02	2.395726e+03	3.028200e-01
1.187727e+00	4.124722e-02	2.811915e-02	2.381161e+03	3.009790e-01
1.191381e+00	4.099645e-02	2.794820e-02	2.366685e+03	2.991491e-01
1.195047e+00	4.074720e-02	2.777828e-02	2.352296e+03	2.973304e-01
1.198724e+00	4.049946e-02	2.760938e-02	2.337994e+03	2.955226e-01
1.202412e+00	4.025321e-02	2.744152e-02	2.323779e+03	2.937258e-01
1.206112e+00	4.000846e-02	2.727466e-02	2.309649e+03	2.919398e-01
1.209823e+00	3.976519e-02	2.710882e-02	2.295606e+03	2.901647e-01
1.213545e+00	3.952340e-02	2.694398e-02	2.281647e+03	2.884004e-01
1.217279e+00	3.928307e-02	2.678014e-02	2.267773e+03	2.866467e-01
1.221025e+00	3.904419e-02	2.661730e-02	2.253983e+03	2.849036e-01
1.224782e+00	3.880676e-02	2.645544e-02	2.240276e+03	2.831711e-01
1.228550e+00	3.857077e-02	2.629456e-02	2.226653e+03	2.814491e-01
1.232330e+00	3.833621e-02	2.613465e-02	2.213112e+03	2.797375e-01
1.236122e+00	3.810306e-02	2.597571e-02	2.199653e+03	2.780362e-01
1.239926e+00	3.787133e-02	2.581774e-02	2.186275e+03	2.763453e-01
